미친맛집: 미식가 친구의 맛집 10화 바닷가 1열, 해산물 뷔페 수산시장
Subtitle	Human Translation
これも１つ ください	[점원1] 네, 말씀하세요
タルタルソース 付けて	[점원1] 네, 네
タルタル多めで	- [사장의 웃음] - [마츠시게]
カロリーがありますよ 汁物とタラの フライを購入	[사장] 칼로리가 있어요
汁物とタラの フライを購入	[마츠시게] 네, 어…
おかあさん 名前 何でしたっけ 松重さん	[마츠시게] 그래
いや 覚えた 今 人気があるわね	- [점원2] - [점원1] 400엔입니다
今 人気がある？	[시경] 400엔이요
いらっしゃい	[점원2] 어서 와요
やっぱり来てくれた うん	- [일본어] - [마츠시게] 응
そう ありがとうございます	- [마츠시게] - [시경]
ありがとね 危ない危ない お元気で おばちゃん	- [시경] 오, 위험해요 - [점원2] 네
持てなくなってきたね	- [시경] 아! - [마츠시게]
ああ これは いいスープだ	[시경] 아!
これは ほんとに いい景色ですね	[마츠시게] 멋지다
きれいだ 魚は必然的に おいしく なるんじゃないですか？	- [한국어] 되게 예쁘다 - [마츠시게/일본어]
必死に泳がないと うん	- [시경] - [마츠시게] 응
とても いい所だ	[시경/한국어] 야 너무 좋다, 여기
ちょっと混んでるから ２階に用意されてる	- [시경/일본어] - [마츠시게] 응
２階があるんだ はい いいですよ	- [제작진/한국어] 네 - [일본어] 네, 좋아요
乾杯(チャン)	- [시경, 마츠시게] - [제작진의 웃음]
タンチャン タンチャン	[한국어] 단짠단짠
タンチャン タンチャン	- [마츠시게] - [제작진의 웃음]
タンチャン タンチャン	[시경/일본어] 네
で こっちが チャンのほうね チャン	- 네 - [마츠시게]
そうです チャン	[마츠시게] 짠?
まず でも フグですからね これね	- [마츠시게] - [활기찬 음악]
ああ で こんな ピンク色になるんだ	아, 그러면
うん	[시경] 음
うん	- [마츠시게] 음 - 응
うん うまい	- 음 - [마츠시게] 음
ズワイガニの味噌汁 フグ汁が 味噌仕立てだなんて	- [마츠시게] - [시경] 네
あの… 普通に⸺	- [호응] - [마츠시게] 저기
はい	네
はい	[마츠시게] 자
うーん たぶん制作チームは	[시경] 음
おすしの 正しい食べ方とか	[마츠시게] 응
すしは 専門じゃないみたい	- [한국어] - [제작진들의 웃음]
あの… ご飯がさ 醤油につかっちゃうと	그게
ポロポロッと こぼれてくるじゃない？ あれが嫌だから	[시경] 아, 맞아요, 맞아요
そういう場合はネタを こう剥がして	[시경] 음
個人的な見解です	- [마츠시게] - [시경] 응
やってみようかな	- [시경] - [마츠시게] 해봐요
はい うん うん	[시경] 네
うん	[시경] 음
うん うん	- 음 - [시경] 음
うん	[마츠시게] 음
これ ノドグロですよ これ	- [부드러운 음악] - [시경]
ああ やばい	아, 맛있다
ちょっと あぶりました あぶり	- [마츠시게] 아 - [시경의 탄성]
うん うん	- 음 - [시경] 응
ご飯の量が多いよね	- [마츠시게] - [시경의 호응]
ここは面白いな	- [흥미로운 효과음] - [시경/한국어]
おいしいものは おいしいんですよ ですけど ここが⸺	- [시경] - [마츠시게의 호응]
雰囲気？	[마츠시게] 응, 응
市場でバーって ベルが鳴ると	- [활기찬 음악] - [시경]
海峡 見ながら おすし食べるという⸺	[마츠시게] 응
カニクリームコロッケね	- [마츠시게] - [시경] 네
うん ちゃんとカニの 香りもするし	[시경] 응
うん うん	- 음 - [시경] 응
“カニクリーム コロッケだ うん”	- [마츠시게] - [시경의 호응]
うん	[마츠시게] 응
まっちげさんは どうですか？	[마츠시게] 응, 난…
サラダ巻きが 好きだったり	- [시경] 그러네 - [제작진들의 웃음]
そうなんです	[마츠시게] 맞아요
これ おいしい ああ いやあ タルタルは もう…	- [마츠시게] - [시경, 제작진의 호응]
これはね マクドナルドの フィレオフィッシュ みたいな感じ	- [마츠시게] - [시경] 아!
もう人生 一番 好きですよ	- [시경] - [제작진들의 웃음]
ああ	아
そのまま うん	바로 그거지
フィレオフィッシュが？	- [마츠시게] - [시경] 네
スケジュール 始めた	- [제작진의 웃음] - [마츠시게] 아
あんな おいしいものを…	[시경] 이유를 모르겠어요
なぜか分からない	[마츠시게] 맛있는 걸…
硬いですね	- [마츠시게] - [시경의 호응]
あっ これですよ こっちが おいしい	[마츠시게] 아, 이거예요
あっ 本当？ 広告 やろう	그래? 하자!
“止まんないね 最高” “タンチャンタンチャン おいしいよ”みたいな	- [시경의 탄성] - 바나나우유 최고
“タンチャンタンチャン バナナ牛乳”っていう	- [한국어] - [제작진들의 웃음]
ですよね	- 그렇죠? - [마츠시게] 응
何でも やってきたんで 大丈夫	[제작진] 오
