미친맛집: 미식가 친구의 맛집 12화 칼국수는 거들 뿐
Subtitle	Human Translation
タラのチヂミ カキのチヂミ 魚と カキ	- 새우랑 애호박이랑 생선 - [마츠시게] 응, 응 [시경] 굴이 있어요
タラのチヂミ カキのチヂミ	[시경] 굴이 있어요
なかなか ない	[시경] 그렇구나
チヂミの専門店 ないでしょう？ ない ないと思うよ 俺は知らないけど	- [시경] - 없어
ねえ	[마츠시게] 그렇지?
種類が いっぱいある うん	- [시경] - [호응]
エビ	[시경] 네
あっ 単品エビ？ はいはいはい	- [마츠시게] - [시경] 네
うん	음
これ すごいね これ 中⸺	[시경] 네
ほんとにミディアムレア っていうかさ うん	- [시경] - [마츠시게] 응
あの やっぱり⸺	[시경] 그게…
ジョン マスター？	- [두둥 - 효과음] - [시경] 네
これって ジョンの皮っていうのは はい	- [마츠시게] - [시경] 네
ふうん これ カキ？ はい	- [마츠시게] - [시경] 네
これは うまい カキチヂミ	이거 맛있네, 굴전
カキフライとか カキポン酢とか	- [시경] - [마츠시게의 호응]
カキのチヂミ(クルジョン)は韓国の うん	[마츠시게] 응, 응
ノンアルコールビール ですか？ それとも…	[마츠시게] 마시고…
うん	그래
あっ じゃあ 僕の 出しますか？	- [시경] - [마츠시게의 웃음]
はい カムサハムニダ どうぞ	- [한국어] - [일본어]
やっぱり 全然 違う	[시경] 역시 그렇군요
このさあ マッコリが合うっていう 根拠って何だろうね	- [마츠시게] - [시경] 네
この組み合わせが 韓国の味	[마츠시게] 응
お店でしょう？	[마츠시게] 응, 응
ビジネスの相手だったり 親だったり	- [시경] - [호응]
親友だったり	[마츠시게] 응
ああ	아~
韓国料理 苦手っていう 人でも はい	- [마츠시게] - [시경] 네
そうですね カルグクスが…	- [시경] 그렇죠 - [마츠시게]
ええ	아…
へえ	그래?
あらまあ おっきいのが 来ちゃったよ これ	- [일본어] - [사장님/한국어] 네
カルグクスは 半人前ずつに	[시경] 저희 - [시경] - [사장님] 네
はい	- [시경] - [사장님] 네
すぐ覚えればね なんかね うん	[시경] 네
マシッソッスムニダが あるんだね	[시경] 네
マシッスムニダは 今 おいしいです	[마츠시게] 맛있어요
マシッソッスムニダは おいしかったです	- [시경] - 아
マシッソッスムニダって ことね？	'맛있었습니다'처럼?
ああ マシッソッスムニダ	[한국어] '아, 맛있었습니다'
ナッチポックム	- [시경] 네? - [마츠시게] 낙지볶음
ナクチポックム ナッチポックム	- [시경/또박또박하게] 낙지볶음 - [마츠시게] 낙지볶음
ナッチポックム	낙지볶음, 낙지…
ナッチが “ナクチ”	'낙지'예요
ナクチ おっ ナクチ	- 낙, 낙지, 낙지 - 네, 낙지
ナッチポックム	[마츠시게] 낙지볶음
ナクチポックム おっ はい	- 낙지볶음 - 네, 맞아요
食べましょう ナッチポックム	[마츠시게] 낙지볶음
タコ はい	- [마츠시게] - [시경] 네
いやあ このタコは うまい	와
ここの すごさは⸺	- [마츠시게] - [시경] 네
ああ へえ	네
絶妙な火加減	[시경] 이 이상…
かなり達人ですよ これは	[시경] 그러니까요, 네
最高の状態で ここに来たんですよ	- [흥미로운 음악] - [마츠시게] [시경] 네, 그렇네요
難しいじゃないですか	[시경] 그렇죠
うん こう炒める時 はいはい	[마츠시게] 응, 그래
ああ	[마츠시게] 그렇구나
普通は そうめんです うん	- [시경] - [마츠시게의 호응]
それが特徴 うん	[마츠시게] 응, 응
うん	음
うん	음
うん	네
はい	- [마츠시게] - 네
よかった うん	- [시경] - [마츠시게] 응
ふうん うまい	- 음~ - [마츠시게]
そうですね 日本人には	[마츠시게] 응
“辛！”ってなる日本人 結構いると思いますよ	[마츠시게] 있지, 있을 거야
でも僕は大丈夫 ってか おいしい ふうん	- [마츠시게] - [시경의 호응]
うん	[마츠시게] 응
うんうん	네
お肉も	- [흥미로운 음악] - [마츠시게]
“そんな大した味じゃ ないじゃん”って なるかもしれません	[마츠시게] 아니, 그것도… 아니야
ああ ほんとですか？	[마츠시게] 응
もう ボッソボソの	- [마츠시게] - [익살스러운 음악]
バキバキのやつが 出てきても	- [마츠시게] - [익살스러운 음악] [시경] 그래요?
うん	음
よかった うん	- [시경] - 응
作戦？	[시경] 작전요?
はい	[시경] 네
うん ああ	- 음 - [시경] 아
おいしいね(マシンネ)	- [반짝이는 효과음] - [한국어]
うん	[마츠시게] 음
そういう海藻系とか 考えちゃうけど	[시경] 아, 많으니까요
牛肉のスープですよ これは	[마츠시게] 응
その分 だしの香りとか 味わい深さとか	- [마츠시게] - [시경] 네
これは いい	[시경] 잘됐다
うん	[마츠시게] 응
やばい やばい	[시경] 장난 아니죠
ほんとですか？ わあ うれしい	[마츠시게] 응
アイ ラブ ユー	아이 러브 유
