미친맛집: 미식가 친구의 맛집 8화 "중독된 사랑" 평양냉면
Subtitle	Human Translation
酢がらし 教えてもらったんで	[마츠시게] 응 [마츠시게] 응
僕は マンドゥを これぐらい残して	- [시경] - [마츠시게] 응 [마츠시게] 응
これと一緒に食べると	[마츠시게] 같이 먹는구나
また おいしいんですよ	[마츠시게] 오!
うん	음
うん	[시경] 음!
うん うん	[마츠시게] 음, 음!
うん	음!
うまい	맛있어
うん	응
ああ	아!
もうマンドゥには 酢がらし	- 허! - [익살스러운 음악]
バイ 松重豊	[마츠시게] 그래 - [시경] - [마츠시게] 마츠시게 유타카, 응
うん	- [시경] - [마츠시게] 마츠시게 유타카, 응
おお	오!
だめだよ	[마츠시게] 안 되지
マンドゥを よく召し上がる	- [시경/한국어] - [제작진] 그러니까요
大丈夫ですか？ マンドゥ	- [시경/일본어] - [마츠시게] 응?
俺は なんか今日 食べてるよ	[시경] 이…
冷麺に集中しないと 伸びるし	[마츠시게] 아, 집중하는구나
ああ	- 아아… - [시경] 그렇죠
あの ２種類 あるんですけど	[마츠시게] 그래
僕のお薦めは “ムルレンミョン”	[마츠시게] 응
うん 水冷麺	[마츠시게] 그래
すみません	- [시경/한국어] 저기요! - [마츠시게/일본어]
スープが おいしいって 聞いたら…	- [시경/한국어] 저기요! - [마츠시게/일본어] [점원/한국어] 네
水冷麺２つ “冷麺 １万５０００ウォン”	- [시경] 물냉면 두 개 주세요 - [점원] 예
よだれが止まらない	아, 침이 계속 나와가지고 나 이거 진짜…
よだれが…	- [일본어] - [마츠시게] 왜?
よだれが出てる？	- [제작진들의 웃음] - [시경] 네, 이거…
うん この…	[마츠시게] 그래
あの… 僕 昔 軍隊に入って	[마츠시게] 응
ああ	아…
えっ？ 冷麺のスープって	엇?
いやあ 楽しみ楽しみ	[마츠시게] 이, 이게…
はい	[시경] 네
おお	오오…
お酢 入れて⸺	[시경] 네
うん 焼肉屋さんのシメの 冷麺が なんか⸺	- [마츠시게] 응 - [시경]
うん	[마츠시게] 응
ああ	- 아… - [시경] 그렇죠
あの… 冷麺 来る前に	[마츠시게] 응
ああ 最初？ うん	[시경] 네
あっ 来た	[점원/한국어] 나왔습니다, 네
肉のだしと たぶん “トンチミ”っていう スープを混ぜて⸺	- [시경/일본어] - [마츠시게] 응, 응
スープを作ると 聞きました	[마츠시게] 응, 와…
これ見た目が また全然 違うなあ	[시경] 그게… 네
このままでも いいんですけど	- [시경] - [마츠시게] 응
これ こうやって 飲んでいいの？ ああ そう	- [시경] 네, 숟가락… - 그렇구나
ああ	아…
ああ	와…
では麺を ちゃんとほぐして うん	- [시경] - [마츠시게] 응
はい	[시경] 네
で こうやって	[마츠시게] 응
へえ	[시경] 네
うん	[마츠시게] 음
うん	[마츠시게] 음…
風味	[마츠시게] 그렇지?
あるシェフが言いました 普通⸺	[마츠시게] 응
“ああ甘い” “辛い” “しょっぱい”	[마츠시게] 응
で これは⸺	[마츠시게] 응
食べるようになる 食べ物だから	[마츠시게] 응
うん	[마츠시게] 그래
うん	[시경] 네
“うん？”	[마츠시게] 응
徐々にね	[마츠시게] 서서히
“初体験” “面白い”	그래
“奥深い” “よく分かんない”	[마츠시게] 응
うん	[마츠시게] 응
これ麻薬みたいな 存在です これ ほんとに	[마츠시게] 응
うん	그래
へえ	[시경] 우와
うん	[마츠시게] 음
海のほう 南の海のほうだから	[마츠시게] 그래 [마츠시게] 응
ああ スープが違う？	- [시경] - 오…
咸興も 北朝鮮なんですけど	[마츠시게] 그래
ジャガイモの でんぷんを入れて	- [시경] - [마츠시게] 오오
へえ	[마츠시게] 와…
平壌冷麺ですよね	그래, 응
これ 一味を 粉唐辛子(コチュカル)を ちょっと うん	- [시경] - [마츠시게] 이거야? 응
うん	[마츠시게] 음
おお すごい詩的な…	[마츠시게] 응
ああ 第２弾の変化は	- [마츠시게] 와 - [시경]
うん この ゆで卵の 卵黄を潰すと	- [마츠시게] 응, 응 - [시경]
うん	[마츠시게] 응
スープが全部 汚れちゃうんで	[마츠시게] 탁해져?
そうだね うん	- [마츠시게] - 네
ふうん うれしい	- [시경] - [마츠시게] 응
いや だめです	[마츠시게] 아니야?
って言えるわけ ないでしょう どうぞ どうぞ	- [시경] - [마츠시게] 그래, 넣어도 돼?
それ 好みですからね	- [시경] - [마츠시게] 그래
へえ	[시경] 오…
うん マンドゥを 僕より多く食べたのに	- 음 - [시경/한국어]
ええ？	[시경] 오…
全部 食べますよ	[마츠시게] 응
今 おいくつ？ お父さん お母さん	[시경] 네
あの…	[시경] 그게…
うん もう80だ	[마츠시게] 그래
うん	[마츠시게] 그래
はい	[시경] 네
気づいたのは 僕 日本で	[마츠시게] 응
うん	[마츠시게] 맞아
そのまま与えられた味を 受け入れるんじゃなく	[마츠시게] 응
“こうしてみようか？” なんか いつも…	[마츠시게] 응
それを グルメだと思います でも いわゆる グルメって言っても	[마츠시게] 응
要するに⸺	[시경] 네
どんどん どんどん行く	네
シギョンちゃん 子供の頃から	네
本当に おいしいもの 食べた時の…	[시경] 아… 이야
それが記憶になるし うん	- [마츠시게] 응 - 오오
うん	[시경] 네
すみません はい ピサリを１つ	- [시경/한국어] - [점원] 네
はい 何？ “ピザリヤ”って	- [점원] 네 - [마츠시게/일본어]
混ぜ冷麺(ピビンネンミョン)の あの… 替え玉？	[마츠시게] 응
ふうん	오…
うんうんうん	[마츠시게] 응
肉とか卵とか ない 麺だけを	[마츠시게] 응, 응
追加できるんですよ	[마츠시게] 오오…
うん	[마츠시게] 음
ほんとですか？	[마츠시게] 음
どうも	- [시경/한국어] - [점원] 네
ごま油が いっぱい入ってて おお	- [시경/일본어] - [마츠시게] 오…
うん ちょっと もらおうかな	[마츠시게] 그럴까?
ああ	와…
初心者は このピビンを よく頼むんです	[마츠시게] 응
うん	[마츠시게] 그래
うん	[시경] 음
巻きたくなっちゃう 韓国人は	[마츠시게] 응 아이고
好きだね 巻くの	- [마츠시게] - [시경] 네
あっ	[마츠시게] 엇
うん	[시경, 마츠시게] 음
うん	- [시경] 네 - 그래
初めて聞いた	[마츠시게] 응
体の中から消化酵素が ブワッと出てきて	[시경] 아…
こう…	[마츠시게] 이렇게
冷麺 これは東京じゃ 日本じゃ食えないね	[시경] 네
死ぬまで食べたい 飲みたいスープ	[마츠시게] 먹고 싶어?
なんか もういずれさ ２人でさ	[시경] 네
知らないとこ ドライブしながら	[시경] 네
うん	[마츠시게] 응
やってらっしゃる そうですよ	- [마츠시게] 하고 싶어, 맞아 - [제작진들의 웃음]
いやあ 始まったばっかりなのに	엇
いやあ ありがたいですよ	와 [마츠시게] 기준이 높아지고 있어
もう 明日…	[시경] 그게…
ホドゥクァジャだ デザート天国の薬水(ヤクス)市場	[마츠시게/한국어] 호두과자다
