미친맛집: 미식가 친구의 맛집 5화 해질녘 후지산과 환상적인 푸딩
Subtitle	Human Translation
ディープな話は ちょっと… はい	- [마츠시게] 응 - [시경] 네
あっ こちらでした ごめんなさい	[점원] 아, 실례했습니다
かぼちゃのプリンです	[마츠시게] 네
何？	[마츠시게] 뭐가요?
こちら 盛り合わせの プリンでございます	[점원] 모둠 푸딩입니다
本日 チョコレートプリンと かぼちゃのプリンです	오늘은 초콜릿 푸딩과 - 호박 푸딩입니다 - [마츠시게] 네
はい	- 호박 푸딩입니다 - [마츠시게] 네
ベイクドチーズケーキが 一緒に のっております	[점원] 베이크드 치즈케이크도 나옵니다
ほら お得よ	[마츠시게] 자랑거리 메뉴죠
あれにしておけば よかった	- [익살스러운 음악] - [마츠시게] 그거 봐
これ食べて… 食べ方は？	이거 먹고…
カラメルと… はい	- [마츠시게] - [시경] 네
うん そうそう やっぱ縦だね	- [마츠시게] 응 - [시경] 이렇게…
ああ	아…
コンビニのプリンとか あれじゃない	[마츠시게] 편의점?
めちゃくちゃ おいしいです	- [뾰로롱 - 효과음] - [마츠시게] 응
うわあ	와
いやあ…	이야
ああ カラメルの香りが いいし	[한국어] 아, 그…
ちょっと焦がしてる味が	- [시경/일본어] - [마츠시게] 응
バニラビーン？ 高級な上品な香り	- [시경] - [마츠시게] 응
栄養たっぷりですか？ ああ もう 牛乳ですからね	[시경] 영양이 풍부해요? 우유라서?
ああ そうそう おいしいですよね あれね	- [편안한 음악] - [마츠시게]
かぼちゃ？	[마츠시게] 응
体に よさそうだよね	[마츠시게] 몸에 좋을 것 같지?
50年以上前ぐらいから あった 韓国は プリンって食べない？	- 와 - [마츠시게]
ジャージーの“ジャ”は 韓国語で“チャ”となる ジャージープリン	[성우] 쟈지푸딩
もち米	[제작진/한국어] 찹쌀
ねじねじ してるんでしょ？ それ クァベギと言います	- [일본어] - [마츠시게의 호응]
それは出来立てが おいしいんです	- [시경] - [마츠시게] 갓 만든 거
うん	[마츠시게] 응
市場の入り口の所で	[마츠시게] 그래
で その皮が もち米なんですよ	[마츠시게] 아!
なんかさ もちもちのやつ食べたね	- [시경] 그걸 튀겨서… - [마츠시게]
それ もち米(チャプサル)ドーナツですよ	[시경] 맞아요 [제작진/한국어] 찹쌀 도넛
いいよ	[마츠시게] 좋아요
いやあ おいしい(マシッタ)	[한국어] 이야
マシッタ おいしい	[시경] 맛있다, '오이시이'
えっ ほんとですか？ うん	- [시경] - 응
やっと褒められた	[마츠시게] 이 사람
うん？	[마츠시게] 응?
テングルテングル はい	[시경/일본어] 네
テングルテングル テングルテングル	- [한국어] - [시경] 탱글탱글
テングルテングリ	- [제작진의 웃음] - [깨달은 탄성]
おお テングルテングル	[일본어] 이거 탱글탱그리
テングルテングリ うん	- [제작진의 웃음] - [깨달은 탄성]
俺ね 俺ね はい	- [마츠시게/일본어] - [시경] 네
ほんとですか？ うん	- [시경] - [마츠시게] 응
日本人の耳からすると	[마츠시게] 응
そうですかね おしゃれな 響きがね	- [시경] - [마츠시게] 세련됐어
そうなんだよね	[시경] 영어 공부해서…
２年ぐらい？ うん	- [시경] - [마츠시게] 응
うん	[마츠시게] 응
そのコラムニストとかが こう⸺	[마츠시게] 응
ビルボードチャート 何週間⸺	- [마츠시게] 응 - [시경]
その歌詞に関して うん	- [시경] - [마츠시게] 아, 응
メッセージが うん	[마츠시게] 응, 응
だから⸺	그래서
たまに しゃべったり してましたけど うん	[마츠시게] 있구나
あの 富士山って 日本人には	[시경] 저기
“一富士 二鷹(たか) 三茄子(なすび)”っていう	[마츠시게] 첫째가 후지산 둘째가 매, 셋째가 가지
言われてるん ですけども	[시경] 네
富士山が見える 見えた？	- [시경/한국어] - [마츠시게/일본어]
すばらしいですよ いやあ もう…	- [마츠시게] - [시경] 정말…
こんな場所で食べて 日が暮れたら	[한국어] 이야
こういうお店 ２人で来て	- [시경/일본어] - [마츠시게] 응
夕焼け 一緒に見て 日が暮れると	- [시경] - [마츠시게] 응
なんか すごい ワクワクするかも	- [마츠시게] 그래? - 아마도요
そうですね	- [시경] 그렇네요 - [마츠시게] 응
“結婚指輪は？”って 言われて	[마츠시게] 응
プリンに入ってたんだ	[시경] 우웩~
もう韓国で…	[마츠시게] 한국에서…
ああ…	아…
