미친맛집: 미식가 친구의 맛집 7화 30년 노포의 품격, 부일숯불갈비
Subtitle	Human Translation
まっちげヒョン まっちげヒョン オーケー まっちげヒョンでいい	- 맛찌개 형님, 좋네, 맛찌개 형님 - [시경] 네
はい シギョン	[시경] 네
シギョンア シギョンイ	[시경/한국어] 시경아
シギョニ シギョニン？	- 시경이, 시경이? - [시경] 네
だから“シギョンア” “シギョンア”	'시경아'
シギョンア シギョンア シギョンア	- 시경아, 시경아 - [시경] 시경아
“シギョンちゃん”に しましょう	- [익살스러운 음악] - [제작진들의 웃음]
“シギョンちゃん”の ほうが 言いやすいんだよ	- [마츠시게] - [편안한 음악]
はい	[시경] 네
たまねぎ	[마츠시게] 양파
丸くするの？ うん	- [마츠시게] - [시경] 네
はい	[시경] 네
このサムの文化って 結構 長いって	- [시경] - [마츠시게] 응
うん	[마츠시게] 응
昆布とか 海藻？ わかめ のり	[마츠시게] 응, 싸서?
野菜にも種類が いっぱいあるんで うん	- [시경] - [마츠시게] 그래
へえ 体に いいし	- [마츠시게] 그래? - [시경]
そして韓国は 仲よくなると	[마츠시게] 응
ああ… それ遠慮しとくわ	아…
うん	[마츠시게] 응
“あー”ってして あーん	'아'라고 하겠냐?
はい	네
シギョン 食え	[한국어] 시경아, 한입 해
まだサムの間柄じゃない	- [시경] - [제작진들의 웃음]
まだね	[마츠시게] 아직이야?
まだ？	[시경] 네
うん？ せっかち	[마츠시게] 뭐?
何が分かるの？	[시경] 기다려 주세요
うん 韓国は普通⸺	- [마츠시게] 응 - [시경]
ふうん	[마츠시게] 응
うん	[마츠시게] 응
うん あそこで なんか⸺	- [마츠시게] 응 - [시경]
ガルルルル！	[고로 씨/독백] 으르렁
ガルルルル！	으르렁
ガルルルル！	으르렁
あっ	아?
テジコプテギ	[사장님/한국어] 돼지껍데기
うん サービスで出すものです	- [마츠시게/일본어] 응, 네? - [한국어]
これ サービスです うん あれで焼くのね？	- [한국어] - [마츠시게/일본어] 네
今 お持ちしますか？	- [사장님/한국어] 네, 지금 - [마츠시게의 탄성]
うん	[마츠시게/일본어] 네
はい	- [마츠시게] 가시죠 - [사장님/한국어] 예, 예, 예
焼酎を１本 はい	- [한국어] - [점원] 네
意外と皮って 厚いんだね	[사장님/한국어] 요거 잘 구우면…
へえ で 柔らかくなる 香ばしくなる	- 그래? - [시경]
うん	[시경] 네
ははあん	아하
うん	[마츠시게] 응
うん	[마츠시게] 응
あの… 焼き鳥屋さんで	[시경] 그…
これで口直しをして	[마츠시게] 응
ああ	아…
ああ	아…
ああ	아…
ああ	아
だから味付けが強いんで 韓国の料理は	[마츠시게] 응
そうだね ここまで⸺	[마츠시게] 그렇지
これはテジは 最後までおいしいね うん	- [마츠시게] - [시경] 네
ああ それでまた あっため直すの？	- [마츠시게] - [시경] 네
ご飯１つ 用意するもの １ ご飯 用意するもの １ ご飯	[한국어] 여기 공깃밥 하나만 주세요
２ 新しいスプーン	[점원] 네
うん	[마츠시게] 그래
ああ	[마츠시게] 아…
へえ	그렇구나…
うん	[마츠시게] 음
ああ	아아…
ああ	아아…
うわあ	[시경] 와
うん そうですね	아아…
うん	[마츠시게] 응
３万８０００ウォン テジカルビ ２人分と １万ウォン 焼酎とビールで ４万8000ウォン 焼酎とビールで ４万8000ウォン	[시경/한국어] 돼지갈비 2인분에 소주 하나, 맥주 하나, 48,000원
２０００ウォン ２０００ウォン ご飯２つ ご飯２つ	밥 두 개
５万ウォン	- 자, 5만 원 - [제작진] 네
５０００円です ５０００円	- [시경/일본어] - 5,000엔?
わあ よかった	[마츠시게] 응
お疲れさまでした 撮影終了 撮影終了	[제작진들/한국어] 수고하셨습니다
撮影終了 オーケー？ はい	[마츠시게, 시경/일본어] 네
シギョンの携帯で撮影 本当に よく召し上がるね	[사장님] 저래 해 갖고
ガルルルル！ ガルルルル！ 次回	[고로 씨/일본어] 으르렁
