미친맛집: 미식가 친구의 맛집 6화 40년 단골 맛집, 노포 중식당
Subtitle	Human Translation
ちょっと ちっちゃめの 結構 多いんでしょう？	- [마츠시게] 응, 응 - [시경]
うん	[마츠시게] 응
来た来た	- [사장] 됐다 - [시경] 이 사이즈가 좋아요
赤いチャーハンが登場	- [사장] 됐다 - [시경] 이 사이즈가 좋아요 [시경] 굉장히 만족감이 있어요
すごい赤いんです	[사장] 그래요?
このね 小さい チャーシューのことを	- [마츠시게] 이거 - [시경] 드물어요
このね 小さい チャーシューのことを チャンコマ チャンコマ チャンコマ チャンコマって 言うんですよ	- [마츠시게] - [시경] 네
チャンコマ これが赤いんだよね チャンコマ チャンコマ そうなんですよ	- [마츠시게] - [사장] 맞아요
ほんとに 赤いんだね	[시경] 네
目つぶると 赤いの関係なくて	[시경] 네
じゃあ 食べてみる はい	- [시경] - [마츠시게] 응
別にね 赤い味は しないですよ	- [시경] 대단하다 - [마츠시게]
スープも飲んだほうが いいですよね	[사장] 그리고 국물도 마시면 좋아요 - [마츠시게] 응 - [사장] 제대로…
スープね スープ	[마츠시게] 국물이지, 국물
うん	- [사장] 볶음밥만 먹으면… - [시경의 탄성]
チャーハンは韓国にも…	[마츠시게] 볶음밥은 한국에도…
ほんと？ 体にいい感じかなあ？	[시경] 볶음밥은…
ああ 油と調味料と ワーッて	- [호응] - [시경]
コンビニもない 時代だからね	[시경] 네
うん それで ご飯炊いて	- [시경] - [마츠시게] 응
赤くない	- [시경의 호응] - [흥미로운 음악]
じゃあ これ 江戸っ子ラーメンです	[사장] 이게
江戸っ子ラーメン	[마츠시게] 에돗코 라멘
出ました	- [마츠시게] - [시경] 와
４５０円	- [돈통 열리는 효과음] - [사장의 웃음]
餃子が…	[시경] 45…
よく覚えてるね すごいなあ	이야
これは好き嫌い ない	[마츠시게] 응
ああ せっかち	- [마츠시게] - [시경] 네, 네
分かるよ 大体 この今までの流れ見れば	[시경] 네
“おいしい？”とか	[마츠시게] 응
戻す必要はないと 思うけど	- [마츠시게] - [시경] 그럼
早く食べてくれよ	[시경] 아니…
いい いい もう そのまま	[마츠시게] 됐어
自分が何を食べたいか 考えといてください	[마츠시게] 자기가 뭘 먹고 싶은지 생각해 두세요
いやあ	이야
これは好き嫌いは ない	- [시경] - [마츠시게] 그래요?
ちょっと濃厚すぎる 豚骨だったり	[시경] 근데 [마츠시게] 응, 응
食べたことない 味噌(みそ)ラーメンだったり	[마츠시게] 응
ちょっと びっくり するんですよ 韓国人は	- [시경] - [마츠시게] 응
アジア人が好きな…	[마츠시게] 응
体に しみる感じ	- [마츠시게] 아시아인? - [시경]
僕も太麺 だめなの うん	- [시경] 네 - [마츠시게의 호응]
東京のラーメンって	[시경] 네
うん	- [시경의 탄성] - [산뜻한 음악]
僕 ウソじゃ ないんですけど	- [시경] - [마츠시게] 응
このラーメン 好きです ああ そう	- [시경] - [마츠시게] 아, 그래?
うん これは いいラーメンだ	- [마츠시게] 다행이네요 - [시경]
うん	[마츠시게] 응
はい こうやれば いいんですか？	자
いやいや それほどじゃなくても	[마츠시게] 아니
スー… ああ スー… ああ ラーメンスープに チャーハンを浸す ラーメンスープに チャーハンを浸す	- [마츠시게] 국물… - [흥미로운 음악]
ラーメンスープに チャーハンを浸す ラーメンスープに チャーハンを浸す スープで 追っかければ いいですよ	먹으면서 국물로 쫓아가면 돼요
はい	네
いや	이야
ミッチョッタですよね これ	- [시경] - [사람들의 웃음]
まねをして まあ８キロぐらい…	[마츠시게] 응
増えた？	[사장] 이런
油のうまみが 温度が上がるでしょ？	[마츠시게] 응
うん 花開くんだ	- [사장의 호응] - [마츠시게] 응
そうですよ だから⸺	[시경] 그래서
けど⸺	- [사장의 탄성] - [마츠시게] 괜찮구나
いいでしょう だって⸺	[마츠시게] 그렇죠?
いきましょうか ねえ	[마츠시게] 갈까요? - [시경] 좋죠 - 그렇죠?
サーブするから みんな食べろって	[시경/한국어] 이야, 여기 - [마츠시게의 호응] - [제작진들의 환호와 박수]
まっちげさんに⸺ サービングしてもらう 打ち上げ	- [제작진들의 환호] - [시경]
来て はい	- [시경/한국어] - [제작진] 네
いや もう⸺	[시경/일본어] 아니
時給６００円で ございます	- [제작진/한국어] 시급 600엔 - [일본어]
コップが… お水で… コップで いいのかな？ ２ 接客	[사장] 가게에서… 거기 나오려나?
僕も運ぼう シギョンもサポート	[시경/한국어] 나도 맥주 좀 나르고 하게…
おいしい(マシッソヨ)？	- [마츠시게] - [제작진/일본어] 맛있어요
ああ よかった よかった	- [마츠시게] 다행이야 - [제작진] 맛있어요
マシッソヨ？ 最高	- [마츠시게/한국어] - [제작진/일본어] 최고
はい ありがとうございます	- [제작진들] 네, 감사합니다 - [마츠시게의 호응]
餃子 欲しい人 ４つ ４つ	- [제작진/한국어] 여기 하나 - [마츠시게/일본어] 4개, 4개
大丈夫(ケンチャナヨ) 大丈夫	- [마츠시게/한국어] - [제작진들의 웃음과 환호]
“次は韓国で 何を食べるのか”	[시경/한국어] 이야
乾杯(コンベ)	[시경/한국어] 네, 건배
チャン チャン	- [시경] 짠 - [마츠시게] 짠, 짠
チャン チャン チャン	- [시경] 짠 - [마츠시게] 짠, 짠 - [제작진1] 짠 - [마츠시게] 짠 - [마츠시게] 짠, 짠 - [제작진2] 짠
チャン	- [마츠시게] 짠, 짠 - [제작진2] 짠
どうぞ よろしく	- [일본어] 잘 부탁합니다 - [마츠시게/한국어] 짠 [시경, 제작진3/일본어] 감사합니다
ありがとうございます	[시경, 제작진3/일본어] 감사합니다 [마츠시게/한국어] 짠, 짠
ありがとうございます	- [제작진4/일본어] 감사합니다 - [마츠시게/한국어] 짠
チャン	[마츠시게] 짠
絶品ですよ シギョンが 実際に通う店 シギョンが 実際に通う店 シギョンが 実際に通う店 よく来るんで	[시경/한국어] 여기 맛있습니다 제가 많이 와 봤기 때문에
ご飯10杯いける 豚(テジ)カルビ	이걸로 밥 열 공기 먹습니다
オーケー うまい 平壌(ピョンヤン)冷麺	[시경/한국어] 오케이 맛있어요, 여기
お気に召すといいな コプチャン焼き	맛있게 드셨으면 좋겠어
日本人は絶対に好き	일본 사람 무조건 좋아하는 맛이야
ぜひ食べて	이거는 꼭 드셔 보세요
ああ！	- [깨달은 탄성] - [경쾌한 음악]
おいしいね(マシンネ)	[마츠시게/한국어] 아, 맛있네
“あー”	[마츠시게] '아'를 할 것 같냐?
チャン チャン	- [마츠시게/한국어] 짠 - [시경]
シギョン はい	- [한국어] 시경아 - [일본어] 네
シギョン はい	- [한국어] 시경아 - [일본어] 네
おいしいです	[마츠시게/한국어] 맛있습니다
