미친맛집: 미식가 친구의 맛집 11화 소년 마츠시게 소울푸드
Subtitle	Human Translation
ああ いい感じ	- [시경] - [마츠시게] 안녕하세요
いらっしゃいませ	[점원] 어서 오세요
うん	[마츠시게] 어
ああ どうも いらっしゃいませ	- [마츠시게] 안녕하세요 - [점장님]
こんばんは どうも ご無沙汰しております	- [시경] 감사합니다 - [마츠시게]
あの 看板に写真が	- [호응] - [시경]
そうです 私です	- [마츠시게] 응 - [점장님]
ここは もう かなり 歴史はありますよね	[점장님] 네
楽しみです ええ	- [시경] - [마츠시게의 호응]
ホテルで食べないで ここで食べてた	[시경] 여기 오는구나
うどんを こう入れて うん 一日の始まりにするって いうのは 一番いいんですよ	- [마츠시게] - [시경의 호응]
あっ あの… だしに？	[마츠시게] 맞아, 맞아
ごぼう天	- [시경] 우엉튀김 - [마츠시게] 응
ごぼう天ね	- [마츠시게] 우엉튀김 - [시경] 네
エビのかき揚げ天なのよ うん	- [시경] 아아 - [마츠시게] 어
ちょっと だから もう せっかくだからビールも	[시경] 네
はい いっときますか	[마츠시게] 좋지?
ビール１つと	[시경] 일단
あぶりの丸天 ください	[점원] 네, 네
はい おにぎり はい	[점원] 네, 주먹밥이요
２個入りで	[점원] 두 개요
ああ じゃ 炭酸水 もらっていいですか？	- [마츠시게] - [점원] 네
食べてください はい	- [마츠시게] - [시경] 네
チャン	[시경/한국어] 짠
夕飯で おうどん 食べることなんて ないでしょ？	- [마츠시게/일본어] - [시경의 시원한 탄성]
“ちょっと腹減ったな” 軽く早く食べる感じ？	그렇지
ああ 日本にも ありますね すみません	- [시경] 네 - 응
これが？	- [활기찬 음악] - [시경] 이건?
醤油(しょうゆ)かけるんだったら 醤油かけて	[시경/한국어] 잘 먹겠습니다
じゃ いただきます すいません	[마츠시게] 잘 먹겠습니다 미안해요
入れた瞬間 “うん！”って	- [시경] - [제작진의 웃음]
もうね⸺	[마츠시게] 이거는…
これも甘い醤油かな 九州だから	- [마츠시게의 탄성] - [시경]
あっ なんか うまい	[한국어] 이야
マシッタ マシッタ？	- [시경/일본어] 맛있어요 - [한국어]
素朴な味？	- [시경/일본어] - [마츠시게의 호응]
“オムク” “オデン”	[한국어] 어묵, 오뎅
うーん 博多って⸺	음…
うどんよりラーメンが 強くなってるんだ	- [시경] - [마츠시게의 호응]
ああ そうなんですか	[시경] 아, 그렇군요
ああ そう トッポッキ	[시경] 떡볶이
そうですね 食事にも なりますし	- [시경] - [마츠시게의 호응]
お待ちどおさまです	- [경쾌한 음악] - [점장님] - [마츠시게] 네, 감사합니다 - [점장님]
えび天うどんです どうぞ	- [마츠시게] 네, 감사합니다 - [점장님] - [시경] 감사합니다 - [마츠시게] 잘 먹겠습니다
いただきます	- [시경] 감사합니다 - [마츠시게] 잘 먹겠습니다
ごぼう天うどんです	- [점장님] - 네
なんか この小エビが 一番 うどんに	[점장님] 뭐랄까
おだしが うまく 出せるような感じで	- [시경] 아 - [마츠시게] 그렇죠
昔から うちは この小さなエビなんです	- [마츠시게] 응 - 아
これ ちょっと かしわおにぎりも ちょっと食べてください	- [마츠시게] - [시경] 네
こちが七味ですね？	- [마츠시게] - [점장님] 네
はい チーズ	[시경] 하이 치즈 - [아기 웃음 효과음] - [찰칵찰칵]
オッケーです	- [찰칵 - 효과음] - 됐습니다
ああ ええ ええ ２ つゆに 天ぷらを浸す	- [시경] 아 - [마츠시게의 호응]
うん	음
うん	[마츠시게] 음
うん	음
ああ	[마츠시게] 오
柔いですよ	[마츠시게] 면도 끝내주지?
ふうん	[시경] 음
韓国で まだ はやってないの… そうねえ	- [산뜻한 음악] - [마츠시게] 그래
うん	[마츠시게] 응
本当に おいしい	[시경/한국어] 진짜 맛있다, 응
おばあさんの ぬくもりの味だ	[제작진] 오
うどんの つゆがね	- [마츠시게] - [익살스러운 효과음]
あっ うれしいです ありがとうございます	- [점장님] - [점원] 감사합니다
愛してます	[점장님] 감사합니다
もう恋に落ちちゃった	[점장님] 감사합니다
昆布から まあ サバ節とか	[마츠시게] 다시마
いりことか いろんなのが はい	말린 고등어
これは酒飲みが 大喜びする味だ	[한국어] 이건 술 먹는 사람은 약간 환장할 맛이야, 진짜로 좋아
うどん屋は 結構ありますけど	[마츠시게] 응
一味 合うでしょ？ うん	- [시경] 이치미 - [마츠시게] 응
もう すべてが 混沌(こんとん)となってきたでしょ	[시경] 그러네요
混沌になったスープが おいしい	- [시경] - 맛있지
あっ そうですね	[시경] 그렇네요
このスープも 天ぷらなしの スープだけよりは	- 응, 적셔서 - [시경]
かしわおにぎり	[시경] 카시와 주먹밥
かしわおにぎり	[마츠시게] 카시와 주먹밥
うん	음
ちょっと邪道だけど	[마츠시게] 약간 반칙이지만
あったかい	따뜻해
うん そうですね	- [시경] - 응
うん	[시경] 음
ああ	아
いやあ 何となく こう…	- [시경의 탄성] - 왠지 모르게
くれないんですよ それ	[마츠시게] 아!
おでん屋で “スープください”って よう言えない	- [마츠시게] - [제작진들의 웃음]
ああ それか 発想かもしんない	아, 그거군요
ほんとですか？	[마츠시게] 응
だから 韓国… それが違いですよ	- [제작진] 네 - [시경]
飲まないですよね？	[마츠시게] 안 마시죠?
まあ浸しながらは 食べますけどね	[마츠시게] 안 마시죠? - [점원] - [마츠시게의 호응]
ついメニューを 見ちゃうんです	[마츠시게] 응
他に何があるかなあ	[마츠시게] 그렇지
あの いなりずし １個だけもらますか？	저기, 유부초밥 하나 주실래요?
１００円ですよ うん １００円 うん １００円 いなりずし １００円	- [시경] - [마츠시게] 응, 1,000원
お醤油 醤油つけて？ いやいやいや	- [시경] - 아니
そのまんまですよ	[마츠시게] 그대로 먹어요
うん	[시경] 음
どうかしてる なぜ これも食べてるんだ？	- [한국어] - [제작진들의 웃음]
ここは ほんとに おいしかったです ありがとうございます	- [시경/일본어] - [마츠시게] 다행이다
そう言っていただけると 私も	[시경] 와
うん	- [시경] 음 - [마츠시게] 음
カルグクス？	[마츠시게] 칼국수
